Setting,Exposure,Theta_A,Seed,Article,t,N,B,A
network,fair,0.7459743804762068,45,a,1,39,2,37
network,fair,0.7459743804762068,45,a,2,23,4,19
network,fair,0.7459743804762068,45,a,3,5,0,5
network,fair,0.7459743804762068,45,a,4,0,0,0
network,fair,0.7459743804762068,45,a,5,0,0,0
network,fair,0.7459743804762068,45,a,6,0,0,0
network,fair,0.7459743804762068,45,a,7,0,0,0
network,fair,0.7459743804762068,45,a,8,0,0,0
network,fair,0.7459743804762068,45,a,9,0,0,0
network,fair,0.7459743804762068,46,a,0,69,0,69
network,fair,0.7459743804762068,46,a,1,43,4,39
network,fair,0.7459743804762068,46,a,2,24,1,23
network,fair,0.7459743804762068,46,a,3,2,1,1
network,fair,0.7459743804762068,46,a,4,0,0,0
network,fair,0.7459743804762068,46,a,5,0,0,0
network,fair,0.7459743804762068,46,a,6,0,0,0
network,fair,0.7459743804762068,46,a,7,0,0,0
network,fair,0.7459743804762068,46,a,8,0,0,0
network,fair,0.7459743804762068,46,a,9,0,0,0
network,fair,0.7459743804762068,47,a,0,69,0,69
network,fair,0.7459743804762068,47,a,1,49,3,46
network,fair,0.7459743804762068,47,a,2,20,4,16
network,fair,0.7459743804762068,47,a,3,6,2,4
network,fair,0.7459743804762068,47,a,4,1,0,1
network,fair,0.7459743804762068,47,a,5,0,0,0
network,fair,0.7459743804762068,47,a,6,0,0,0
network,fair,0.7459743804762068,47,a,7,0,0,0
network,fair,0.7459743804762068,47,a,8,0,0,0
network,fair,0.7459743804762068,47,a,9,0,0,0
network,fair,0.7459743804762068,48,a,0,69,0,69
network,fair,0.7459743804762068,48,a,1,39,2,37
network,fair,0.7459743804762068,48,a,2,41,21,20
network,fair,0.7459743804762068,48,a,3,45,38,7
network,fair,0.7459743804762068,48,a,4,52,52,0
network,fair,0.7459743804762068,48,a,5,25,24,1
network,fair,0.7459743804762068,48,a,6,11,11,0
network,fair,0.7459743804762068,48,a,7,6,6,0
network,fair,0.7459743804762068,48,a,8,2,2,0
network,fair,0.7459743804762068,48,a,9,0,0,0
network,fair,0.7459743804762068,49,a,0,69,0,69
network,fair,0.7459743804762068,49,a,1,45,3,42
network,fair,0.7459743804762068,49,a,2,21,3,18
network,fair,0.7459743804762068,49,a,3,10,4,6
network,fair,0.7459743804762068,49,a,4,2,1,1
network,fair,0.7459743804762068,49,a,5,0,0,0
network,fair,0.7459743804762068,49,a,6,0,0,0
network,fair,0.7459743804762068,49,a,7,0,0,0
network,fair,0.7459743804762068,49,a,8,0,0,0
network,fair,0.7459743804762068,49,a,9,0,0,0
network,fair,0.7459743804762068,50,a,0,69,0,69
network,fair,0.7459743804762068,50,a,1,31,1,30
network,fair,0.7459743804762068,50,a,2,21,4,17
network,fair,0.7459743804762068,50,a,3,6,1,5
network,fair,0.7459743804762068,50,a,4,3,0,3
network,fair,0.7459743804762068,50,a,5,0,0,0
network,fair,0.7459743804762068,50,a,6,0,0,0
network,fair,0.7459743804762068,50,a,7,0,0,0
network,fair,0.7459743804762068,50,a,8,0,0,0
network,fair,0.7459743804762068,50,a,9,0,0,0
network,fair,0.7459743804762068,51,a,0,69,0,69
network,fair,0.7459743804762068,51,a,1,43,2,41
network,fair,0.7459743804762068,51,a,2,18,2,16
network,fair,0.7459743804762068,51,a,3,4,1,3
network,fair,0.7459743804762068,51,a,4,1,1,0
network,fair,0.7459743804762068,51,a,5,0,0,0
network,fair,0.7459743804762068,51,a,6,0,0,0
network,fair,0.7459743804762068,51,a,7,0,0,0
network,fair,0.7459743804762068,51,a,8,0,0,0
network,fair,0.7459743804762068,51,a,9,0,0,0
network,fair,0.7459743804762068,52,a,0,69,0,69
network,fair,0.7459743804762068,52,a,1,37,3,34
network,fair,0.7459743804762068,52,a,2,17,0,17
network,fair,0.7459743804762068,52,a,3,8,2,6
network,fair,0.7459743804762068,52,a,4,2,1,1
network,fair,0.7459743804762068,52,a,5,0,0,0
network,fair,0.7459743804762068,52,a,6,0,0,0
network,fair,0.7459743804762068,52,a,7,0,0,0
network,fair,0.7459743804762068,52,a,8,0,0,0
network,fair,0.7459743804762068,52,a,9,0,0,0
network,fair,0.7459743804762068,53,a,0,69,0,69
network,fair,0.7459743804762068,53,a,1,42,1,41
